property,F,H,HF,HM,M1,M2,RI,RM2,RR,SCI
BP,1.1084778698270817e-06,5.267124353472323e-07,6.9659193542637154e-06,9.956814069970005e-07,4.875765135937696e-07,9.512245266910622e-07,5.209053187846917e-07,3.2267444548868846e-06,4.678704059790178e-07,4.04578062329735e-07
EV,1.8676953209469016e-06,3.86902714312637e-07,9.825883479509595e-06,1.507652615653852e-06,7.298552753217038e-07,1.2757160570650016e-06,4.271350501875547e-07,3.4730693937118428e-06,6.445230187331367e-07,3.910262912869255e-07
FP,2.877863740868494e-05,1.2463408156837515e-05,9.281599280329355e-05,2.8312216427406103e-05,1.7489658511425854e-05,2.872447165671118e-05,1.1902530590636717e-05,6.502248520098975e-05,1.7568338171121384e-05,1.221641486510857e-05
MR,1.211205840574816e-07,2.1478532583841065e-11,2.435107627982809e-06,9.445463286302183e-08,9.89776006348544e-09,8.728336863771669e-08,1.6464232309916762e-11,1.1937824462479873e-06,8.841031296759144e-09,9.115014262734822e-11
MV,5.067367279153824e-05,2.548676534871014e-06,0.0002471218087162,5.5511899841302685e-05,2.03926672252661e-05,6.403411781299385e-05,1.8510320402484548e-06,0.0002750733028142,2.2554042655807243e-05,4.0323691910110354e-06
ST,0.0189023580395507,0.0168945507437542,0.0197924470138672,0.0181814066102609,0.0181316781299866,0.01763703234358,0.0171017142335997,0.0175075059957614,0.0177807460929891,0.017457193243777
VP,,,,,,,,,,
