model_id,property,index,equation,n,r,R2,adjusted_R2,p_value,slope,intercept,std_err,RMSE,MAE,MAPE_percent,model_quality
FP__HM,FP,HM,FP = (0.397202)*HM + (51.9583),12,0.9161544463583086,0.8393389695820989,0.8232728665403087,2.8312216427406103e-05,0.3972015546130367,51.95825935482719,0.0549537735683521,39.94890094326128,30.42764482467589,12.518873477203543,good
FP__M2,FP,M2,FP = (1.60711)*M2 + (59.5784),12,0.9159044422980656,0.8388809474213305,0.8227690421634635,2.872447165671118e-05,1.6071081723318523,59.57837672624589,0.2227247057448486,40.005804784681914,29.421203120157042,12.315995333523059,good
FP__F,FP,F,FP = (0.784555)*F + (44.8338),12,0.915871804992506,0.8388211631802311,0.8227032794982543,2.877863740868494e-05,0.7845551586088305,44.83379058586473,0.1087533895036536,40.013226299444135,31.39712334463982,12.717958567151047,good
FP__RM2,FP,RM2,FP = (4.30829)*RM2 + (91.5567),12,0.9004471393295184,0.810805050726713,0.7918855557993844,6.502248520098975e-05,4.308286921451892,91.55669611420528,0.6581140536889312,43.35152014444055,31.85616104389389,13.270296146893498,good
FP__HF,FP,HF,FP = (0.054178)*HF + (69.2925),12,0.8928197471638997,0.7971271009258097,0.7768398110183907,9.281599280329355e-05,0.0541780497070565,69.29251714830122,0.0086431409950281,44.891237681533035,35.58851450044778,14.086471565519934,good
MR__RI,MR,RI,MR = (7.54281)*RI + (2.71899),13,0.9928598165181118,0.9857706152563788,0.9844770348251405,1.6464232309916762e-11,7.542809150292935,2.7189909610288083,0.2732385070479307,3.5609219467048683,2.92911005622699,3.1983309862738984,excellent
MR__H,MR,H,MR = (7.61951)*H + (5.02085),13,0.9925052678145608,0.9850667066396532,0.9837091345159853,2.1478532583841065e-11,7.61951384111783,5.02085390448147,0.2828628400958404,3.6479358417722403,3.082284079625519,3.3713916384761684,excellent
MR__SCI,MR,SCI,MR = (7.00009)*SCI + (6.5075),13,0.99024485039574,0.9805848637352814,0.9788198513475798,9.115014262734822e-11,7.000086090410705,6.507499924490659,0.2969851044998992,4.159485499726247,3.738926157158877,3.969180188841985,excellent
MR__RR,MR,RR,MR = (1.29046)*RR + (13.7552),13,0.9774892464587328,0.9554852269424612,0.9514384293917758,8.841031296759144e-09,1.2904550647094457,13.755184667723526,0.0839820820615245,6.298272908342053,5.632569792882231,5.689109102655807,excellent
MR__M1,MR,M1,MR = (0.638223)*M1 + (12.5181),13,0.9770185891021508,0.9545653234511576,0.9504348983103538,9.89776006348544e-09,0.6382230936621633,12.518061474295052,0.0419823810050865,6.363017438764426,5.526246190114174,5.577528985854479,excellent
MR__M2,MR,M2,MR = (0.506953)*M2 + (18.7137),13,0.9657245249905518,0.932623858168227,0.9264987543653386,8.728336863771669e-08,0.5069530546670863,18.71370190372329,0.0410838571211477,7.748586085021285,7.0835776631603995,7.321059881433239,excellent
MR__HM,MR,HM,MR = (0.124167)*HM + (16.8772),13,0.9652227852955966,0.9316550252537892,0.9254418457314064,9.445463286302183e-08,0.1241670182933797,16.877185755601857,0.0101399459005512,7.804097504719201,6.888508825492396,7.109102396813924,excellent
MR__F,MR,F,MR = (0.242818)*F + (15.3278),13,0.96359353255547,0.9285124959827292,0.9220136319811592,1.211205840574816e-07,0.2428175323317299,15.32784880151658,0.0203144416077999,7.9814989370765455,6.711617938356299,6.933565908111851,excellent
MR__RM2,MR,RM2,MR = (1.37196)*RM2 + (28.5892),13,0.9444371520351886,0.891961534144338,0.8821398554301869,1.1937824462479873e-06,1.3719558333099795,28.589235770534984,0.1439659970618969,9.812023901625727,9.201812110485708,9.810236737182711,good
MR__HF,MR,HF,MR = (0.0168089)*HF + (22.9008),13,0.9365715083961912,0.8771661903395166,0.8659994803703818,2.435107627982809e-06,0.0168089396555022,22.90077979148846,0.0018965399455142,10.462328546227088,9.005274875290745,9.673564283893658,good
MV__RI,MV,RI,MV = (17.4873)*RI + (55.8737),13,0.9397241227103318,0.8830814268037027,0.8724524656040393,1.8510320402484548e-06,17.487327350950498,55.87374196707688,1.918529472930153,25.00282181807821,20.934313028825702,7.359648195927518,good
MV__H,MV,H,MV = (17.602)*H + (62.0405),13,0.9360313768041684,0.876154738361907,0.8648960782129895,2.548676534871014e-06,17.60202883627816,62.04050289119385,1.9953343360671272,25.732795578209643,21.366538881986955,7.526921488568542,good
MV__SCI,MV,SCI,MV = (16.1092)*SCI + (66.3474),13,0.9303254856427564,0.8655055092364303,0.8532787373488331,4.0323691910110354e-06,16.10918563832468,66.34744862641793,1.914672822410054,26.816341024730498,22.990305846734618,8.091414584725884,good
MV__M1,MV,M1,MV = (1.44908)*M1 + (83.0337),13,0.905616934764626,0.8201420325324769,0.8037913082172474,2.03926672252661e-05,1.4490791322876055,83.03373832623083,0.2046049165210019,31.010738807842774,27.992636196879566,9.974735018648767,good
MV__RR,MV,RR,MV = (2.92271)*RR + (86.3567),13,0.9038098267129712,0.8168722028629312,0.8002242213050158,2.2554042655807243e-05,2.922710745922361,86.35673148494197,0.4172434910752903,31.291357769582063,28.26469588977193,10.079611062711566,good
MV__F,MV,F,MV = (0.548071)*F + (90.6142),13,0.8879171095339309,0.7883967934030907,0.7691601382579171,5.067367279153824e-05,0.5480705529957027,90.61419222959066,0.0856108529182406,33.636313749662435,30.742445187462025,11.087769617489638,good
MV__HM,MV,HM,MV = (0.279172)*HM + (94.8859),13,0.8859626330844557,0.7849297872219418,0.7653779496966638,5.5511899841302685e-05,0.2791720729273803,94.88589765904518,0.04406059482907,33.910750760839534,31.17851549963789,11.250295437967313,good
MV__M2,MV,M2,MV = (1.13519)*M2 + (99.8034),13,0.8828297346947659,0.7793883404612307,0.7593327350486153,6.403411781299385e-05,1.1351919825510333,99.80339866936988,0.182100128036634,34.34484045703052,31.653573344833863,11.438188274628201,good
MV__HF,MV,HF,MV = (0.0372939)*HF + (110.871),13,0.8483214840931002,0.7196493403739199,0.6941629167715491,0.0002471218087162,0.037293893073476,110.8707648088313,0.0070182963748012,38.71667595593757,35.99946809495541,13.296697962256191,moderate
MV__RM2,MV,RM2,MV = (3.00734)*RM2 + (125.536),13,0.8451572674897418,0.7142908067907271,0.6883172437717022,0.0002750733028142,3.0073396295154553,125.53626376705996,0.5734700109195244,39.08493372632077,36.4857822837421,13.44891744895367,moderate
ST__H,ST,H,ST = (1.59188)*H + (37.8458),13,0.6467549503359655,0.4182919657840772,0.3654094172189932,0.0168945507437542,1.591876827922437,37.84578365747114,0.5660123247349055,7.29956839005679,6.092939509000443,10.360672002159301,weak
ST__RI,ST,RI,ST = (1.57307)*RI + (37.4027),13,0.6458421447891979,0.4171120759859112,0.36412226471190323,0.0171017142335997,1.5730655659465378,37.402731608648466,0.5606820198288208,7.306967568744026,6.069808174028676,10.328077360911852,weak
ST__SCI,ST,SCI,ST = (1.46023)*SCI + (38.1879),13,0.6442949196621047,0.415115943502398,0.36194466563897965,0.017457193243777,1.4602282734842655,38.18791750544568,0.5226062450593592,7.319468436140098,6.067235763308205,10.286719010923411,weak
ST__RM2,ST,RM2,ST = (0.299972)*RM2 + (42.0246),13,0.6440778409591176,0.4148362652145583,0.36163956205224546,0.0175075059957614,0.2999719754504946,42.02464198638007,0.1074198852952627,7.321218228870044,5.963132196111484,9.840915517440664,weak
ST__M2,ST,M2,ST = (0.108306)*M2 + (40.2983),13,0.6435211258480811,0.4141194394127818,0.3608575702684893,0.01763703234358,0.1083060083292468,40.298251809671584,0.0388416743604949,7.32570110399242,5.9823454762573665,9.977435896961829,weak
ST__RR,ST,RR,ST = (0.272116)*RR + (39.4925),13,0.6429069963746316,0.4133294059874505,0.3599957156226733,0.0177807460929891,0.2721161437059863,39.49248273352086,0.0977477959120685,7.3306386282744995,6.012163035257197,10.095420671240083,weak
ST__M1,ST,M1,ST = (0.134335)*M1 + (39.2673),13,0.6414227964362287,0.4114232037880717,0.3579162223142599,0.0181316781299866,0.1343350485084776,39.267340647384174,0.0484451350990328,7.3425382762616005,5.9926089958640505,10.066876734297974,weak
ST__HM,ST,HM,ST = (0.0264458)*HM + (39.9638),13,0.6412142189900624,0.4111556746350356,0.3576243723291297,0.0181814066102609,0.0264458231141819,39.96377137231116,0.0095424050872801,7.344206809487458,5.951064441681007,9.933675667330396,weak
ST__F,ST,F,ST = (0.0515636)*F + (39.6904),13,0.6382370965627296,0.407346591428823,0.3534690088314433,0.0189023580395507,0.0515636279000735,39.69044788806508,0.0187527719873601,7.367922415690955,5.9166464882559575,9.883344602407664,weak
ST__HF,ST,HF,ST = (0.00365197)*HF + (40.8946),13,0.6346761335115705,0.4028137944491968,0.34852413939912374,0.0197924470138672,0.0036519666354411,40.89464706572008,0.0013407048329607,7.396044823166803,5.838122762374824,9.636689415187847,weak
VP__RI,VP,RI,VP = (0)*RI + (0),12,,,,,0.0,0.0,,0.0,0.0,,invalid_nan
VP__RR,VP,RR,VP = (0)*RR + (0),12,,,,,0.0,0.0,,0.0,0.0,,invalid_nan
VP__H,VP,H,VP = (0)*H + (0),12,,,,,0.0,0.0,,0.0,0.0,,invalid_nan
VP__SCI,VP,SCI,VP = (0)*SCI + (0),12,,,,,0.0,0.0,,0.0,0.0,,invalid_nan
VP__M1,VP,M1,VP = (0)*M1 + (0),12,,,,,0.0,0.0,,0.0,0.0,,invalid_nan
VP__M2,VP,M2,VP = (0)*M2 + (0),12,,,,,0.0,0.0,,0.0,0.0,,invalid_nan
VP__HM,VP,HM,VP = (0)*HM + (0),12,,,,,0.0,0.0,,0.0,0.0,,invalid_nan
VP__RM2,VP,RM2,VP = (0)*RM2 + (0),12,,,,,0.0,0.0,,0.0,0.0,,invalid_nan
VP__F,VP,F,VP = (0)*F + (0),12,,,,,0.0,0.0,,0.0,0.0,,invalid_nan
VP__HF,VP,HF,VP = (0)*HF + (0),12,,,,,0.0,0.0,,0.0,0.0,,invalid_nan
