index_code,index_title,index_symbol,property,equation,slope,intercept,n,R2,p_value
M2,Second Zagreb Index M2(G),M2(G),ST,ST=40.2983 + 0.1083[M2(G)],0.1083060083292468,40.298251809671584,13,0.4141194394127818,0.01763703234358
M2,Second Zagreb Index M2(G),M2(G),MV,MV=99.8034 + 1.1352[M2(G)],1.1351919825510333,99.80339866936988,13,0.7793883404612307,6.403411781299385e-05
HM,Hyper Zagreb Index HM(G),HM(G),BP,BP=201.1391 + 0.6192[HM(G)],0.6192196237832248,201.1391099030888,12,0.9171501104302006,9.956814069970005e-07
HM,Hyper Zagreb Index HM(G),HM(G),VP,VP=0.0000 + 0.0000[HM(G)],0.0,0.0,12,,
HM,Hyper Zagreb Index HM(G),HM(G),EV,EV=44.4540 + 0.0774[HM(G)],0.0773886222467985,44.454026797836704,12,0.9100399180332382,1.507652615653852e-06
HM,Hyper Zagreb Index HM(G),HM(G),FP,FP=51.9583 + 0.3972[HM(G)],0.3972015546130367,51.95825935482719,12,0.8393389695820989,2.8312216427406103e-05
HM,Hyper Zagreb Index HM(G),HM(G),MR,MR=16.8772 + 0.1242[HM(G)],0.1241670182933797,16.877185755601857,13,0.9316550252537892,9.445463286302183e-08
HM,Hyper Zagreb Index HM(G),HM(G),ST,ST=39.9638 + 0.0264[HM(G)],0.0264458231141819,39.96377137231116,13,0.4111556746350356,0.0181814066102609
HM,Hyper Zagreb Index HM(G),HM(G),MV,MV=94.8859 + 0.2792[HM(G)],0.2791720729273803,94.88589765904518,13,0.7849297872219418,5.5511899841302685e-05
RM2,Redefined Second Zagreb Index RM2(G),RM2(G),BP,BP=260.9302 + 6.7520[RM2(G)],6.752045323602842,260.9301965303117,12,0.895392388331513,3.2267444548868846e-06
RM2,Redefined Second Zagreb Index RM2(G),RM2(G),VP,VP=0.0000 + 0.0000[RM2(G)],0.0,0.0,12,,
RM2,Redefined Second Zagreb Index RM2(G),RM2(G),EV,EV=51.7869 + 0.8464[RM2(G)],0.8464182830804686,51.786870238781134,12,0.8938568741418176,3.4730693937118428e-06
RM2,Redefined Second Zagreb Index RM2(G),RM2(G),FP,FP=91.5567 + 4.3083[RM2(G)],4.308286921451892,91.55669611420528,12,0.810805050726713,6.502248520098975e-05
RM2,Redefined Second Zagreb Index RM2(G),RM2(G),MR,MR=28.5892 + 1.3720[RM2(G)],1.3719558333099795,28.589235770534984,13,0.891961534144338,1.1937824462479873e-06
RM2,Redefined Second Zagreb Index RM2(G),RM2(G),ST,ST=42.0246 + 0.3000[RM2(G)],0.2999719754504946,42.02464198638007,13,0.4148362652145583,0.0175075059957614
RM2,Redefined Second Zagreb Index RM2(G),RM2(G),MV,MV=125.5363 + 3.0073[RM2(G)],3.0073396295154553,125.53626376705996,13,0.7142908067907271,0.0002750733028142
F,Forgotten Index F(G),F(G),BP,BP=190.3241 + 1.2223[F(G)],1.2222737728566415,190.3240945066084,12,0.9153662429236388,1.1084778698270817e-06
F,Forgotten Index F(G),F(G),VP,VP=0.0000 + 0.0000[F(G)],0.0,0.0,12,,
F,Forgotten Index F(G),F(G),EV,EV=43.1668 + 0.1526[F(G)],0.1525774063213709,43.16680736501475,12,0.906136396589026,1.8676953209469016e-06
F,Forgotten Index F(G),F(G),FP,FP=44.8338 + 0.7846[F(G)],0.7845551586088305,44.83379058586473,12,0.8388211631802311,2.877863740868494e-05
