property,F,H,HF,HM,M1,M2,RI,RM2,RR,SCI
BP,0.9153662429236388,0.9269929620082902,0.8781810233139602,0.9171501104302006,0.928104533247216,0.9178980211406268,0.9271536189270416,0.895392388331513,0.9286915943852998,0.9307221571976662
EV,0.906136396589026,0.9313346201264012,0.8696097699080659,0.9100399180332382,0.9221052774293276,0.9129727227553432,0.9299709892382316,0.8938568741418176,0.9240055140650608,0.931189757711286
FP,0.8388211631802311,0.8633400438689158,0.7971271009258097,0.8393389695820989,0.8538899630527801,0.8388809474213305,0.8645769574629814,0.810805050726713,0.853760547394558,0.863879100197375
MR,0.9285124959827292,0.9850667066396532,0.8771661903395166,0.9316550252537892,0.9545653234511576,0.932623858168227,0.9857706152563788,0.891961534144338,0.9554852269424612,0.9805848637352814
MV,0.7883967934030907,0.876154738361907,0.7196493403739199,0.7849297872219418,0.8201420325324769,0.7793883404612307,0.8830814268037027,0.7142908067907271,0.8168722028629312,0.8655055092364303
ST,0.407346591428823,0.4182919657840772,0.4028137944491968,0.4111556746350356,0.4114232037880717,0.4141194394127818,0.4171120759859112,0.4148362652145583,0.4133294059874505,0.415115943502398
VP,,,,,,,,,,
